time [ms]	Pressure [Hgmm]	illuminance [lux]
0.00 	 0.30 	 58.82
0.03 	 0.10 	 58.35
0.05 	 0.40 	 58.00
0.07 	 0.10 	 57.65
0.10 	 0.60 	 57.65
0.12 	 0.10 	 58.00
0.15 	 0.40 	 58.58
0.17 	 0.30 	 58.35
0.20 	 -0.10 	 58.12
0.23 	 0.30 	 58.12
0.25 	 0.30 	 57.77
0.28 	 0.50 	 58.23
0.30 	 0.40 	 58.58
0.33 	 0.40 	 58.58
0.35 	 0.50 	 57.88
0.38 	 0.20 	 57.42
0.40 	 0.60 	 57.88
0.42 	 0.50 	 58.00
0.45 	 0.50 	 58.00
0.47 	 0.30 	 58.12
0.50 	 0.20 	 57.77
0.53 	 0.10 	 57.30
0.55 	 0.60 	 57.65
0.57 	 0.30 	 57.77
0.60 	 0.30 	 58.35
0.62 	 0.40 	 58.35
0.65 	 0.20 	 57.53
0.68 	 0.40 	 57.53
0.70 	 0.30 	 58.58
0.72 	 0.20 	 58.00
0.75 	 -0.10 	 58.82
0.78 	 0.10 	 58.12
0.80 	 -0.20 	 57.88
0.82 	 0.10 	 57.77
0.85 	 0.90 	 57.88
0.88 	 -0.20 	 58.58
0.90 	 -0.10 	 58.58
0.93 	 -0.10 	 58.23
0.95 	 0.10 	 57.65
0.97 	 0.30 	 57.77
1.00 	 0.20 	 57.77
1.02 	 0.40 	 59.05
1.05 	 0.10 	 58.58
1.07 	 0.10 	 58.35
1.10 	 0.20 	 58.00
1.12 	 0.30 	 57.30
1.15 	 0.20 	 57.88
1.18 	 0.20 	 58.23
1.20 	 0.30 	 58.35
1.23 	 0.30 	 57.77
1.25 	 0.70 	 57.88
1.27 	 0.30 	 57.65
1.30 	 0.20 	 58.12
1.32 	 0.20 	 58.58
1.35 	 -0.10 	 58.58
1.38 	 0.40 	 57.77
1.40 	 -0.10 	 57.88
1.43 	 0.20 	 57.88
1.45 	 0.60 	 58.00
1.48 	 0.30 	 58.23
1.50 	 0.30 	 58.23
1.52 	 0.00 	 58.12
1.55 	 0.30 	 58.35
1.57 	 0.10 	 58.00
1.60 	 -0.10 	 58.12
1.62 	 0.10 	 58.47
1.65 	 0.50 	 58.47
1.68 	 0.10 	 58.00
1.70 	 0.10 	 57.77
1.73 	 0.10 	 57.88
1.75 	 0.10 	 58.00
1.77 	 0.10 	 58.47
1.80 	 0.20 	 58.58
1.82 	 0.40 	 58.00
1.85 	 0.20 	 57.65
1.88 	 0.20 	 57.65
1.90 	 0.30 	 58.35
1.93 	 0.60 	 58.00
1.95 	 -0.00 	 58.35
1.98 	 -0.10 	 57.77
2.00 	 -0.10 	 57.65
2.02 	 0.20 	 57.65
2.05 	 0.20 	 58.35
2.08 	 0.20 	 58.00
2.10 	 0.30 	 58.00
2.12 	 0.50 	 57.88
2.15 	 0.40 	 57.53
2.17 	 0.20 	 57.53
2.20 	 0.10 	 58.35
2.23 	 0.60 	 58.82
2.25 	 0.10 	 58.00
2.27 	 0.00 	 57.65
2.30 	 0.10 	 57.53
2.33 	 0.00 	 57.53
2.35 	 0.40 	 58.35
2.38 	 0.10 	 58.58
2.40 	 -0.20 	 58.58
2.42 	 0.00 	 58.35
2.45 	 0.10 	 57.88
2.48 	 0.10 	 57.77
2.50 	 0.20 	 58.00
2.52 	 0.20 	 58.00
2.55 	 0.20 	 57.88
2.58 	 0.20 	 57.53
2.60 	 0.50 	 57.30
2.62 	 0.30 	 57.30
2.65 	 0.20 	 58.12
2.67 	 0.20 	 58.00
2.70 	 0.30 	 58.23
2.73 	 0.30 	 57.77
2.75 	 0.30 	 57.65
2.77 	 0.40 	 57.30
2.80 	 0.50 	 58.12
2.83 	 0.20 	 58.23
2.85 	 0.20 	 58.00
2.88 	 0.30 	 57.53
2.90 	 0.50 	 57.30
2.92 	 0.10 	 57.53
2.95 	 0.10 	 58.58
2.98 	 0.10 	 58.47
3.00 	 0.10 	 58.58
3.02 	 0.10 	 57.88
3.05 	 0.10 	 57.88
3.08 	 0.00 	 57.77
3.10 	 -0.10 	 59.05
3.12 	 0.30 	 58.58
3.15 	 -0.10 	 58.35
3.17 	 0.10 	 57.30
3.20 	 0.00 	 57.07
3.23 	 0.20 	 57.65
3.25 	 0.20 	 58.00
3.27 	 -0.10 	 58.12
3.30 	 -0.10 	 57.77
3.33 	 0.20 	 57.77
3.35 	 0.20 	 57.88
3.38 	 0.20 	 57.88
3.40 	 0.50 	 58.47
3.42 	 0.20 	 58.23
3.45 	 0.90 	 57.77
3.48 	 0.20 	 57.88
3.50 	 0.20 	 57.88
3.52 	 0.20 	 58.35
3.55 	 0.20 	 58.23
3.58 	 0.30 	 58.47
3.60 	 0.20 	 58.35
3.62 	 0.10 	 58.12
3.65 	 0.10 	 58.12
3.67 	 0.10 	 58.12
3.70 	 0.20 	 58.47
3.73 	 0.30 	 58.70
3.75 	 0.50 	 58.35
3.77 	 0.20 	 57.77
3.80 	 -0.20 	 57.77
3.83 	 0.10 	 58.12
3.85 	 0.10 	 58.58
3.88 	 0.50 	 58.35
3.90 	 0.10 	 58.12
3.92 	 0.40 	 58.12
3.95 	 0.50 	 57.88
3.98 	 0.20 	 58.00
4.00 	 -0.10 	 58.58
4.03 	 0.30 	 58.23
4.05 	 0.50 	 58.00
4.08 	 0.30 	 57.77
4.10 	 0.20 	 58.12
4.12 	 0.40 	 58.47
4.15 	 0.50 	 58.82
4.17 	 0.30 	 58.47
4.20 	 0.40 	 58.58
4.22 	 0.30 	 58.23
4.25 	 0.60 	 58.12
4.28 	 0.40 	 58.23
4.30 	 0.40 	 58.93
4.33 	 0.10 	 58.58
4.35 	 0.10 	 58.00
4.38 	 0.20 	 58.00
4.40 	 0.40 	 58.00
4.42 	 0.30 	 58.82
4.45 	 0.20 	 59.05
4.47 	 0.30 	 58.70
4.50 	 0.10 	 58.12
4.53 	 0.10 	 57.77
4.55 	 0.20 	 58.12
4.58 	 0.10 	 58.58
4.60 	 0.30 	 58.47
4.62 	 0.20 	 58.82
4.65 	 0.20 	 58.00
4.67 	 0.20 	 58.12
4.70 	 0.30 	 58.35
4.72 	 0.20 	 59.05
4.75 	 0.20 	 58.93
4.78 	 0.50 	 58.47
4.80 	 0.30 	 58.12
4.83 	 -0.10 	 58.12
4.85 	 0.20 	 58.58
4.88 	 0.20 	 58.93
4.90 	 0.50 	 59.28
4.92 	 0.60 	 58.82
4.95 	 0.30 	 58.12
4.97 	 0.30 	 58.58
5.00 	 0.10 	 58.58
5.03 	 0.10 	 58.82
5.05 	 0.10 	 59.28
5.08 	 0.20 	 58.23
5.10 	 0.20 	 58.00
5.12 	 1.70 	 57.65
5.15 	 0.20 	 57.53
5.17 	 3.20 	 58.00
5.20 	 0.10 	 58.12
5.22 	 4.40 	 58.58
5.25 	 0.00 	 58.23
5.28 	 4.30 	 56.37
